Number;Start time in milliseconds;End time in milliseconds;"Text"
498;8916254;8919254;"Nikhil Kandekar: 113 docs?"
499;8926696;8929696;"Aishwarya Beedkar: 118"
500;8932594;8935594;"Prithvi Sonar: ok now its buffering"
501;8936383;8939383;"Pooja H: 131"
502;8938927;8941927;"ishan srivastava: showing more than 100 docs ishali!"
503;8972552;8975552;"Pooja H: done buffering"
504;8998371;9001371;"Vishesh Waghmare: Add a node above anything else"
505;9010098;9013098;"Vishesh Waghmare: On your assistant"
506;9014626;9017626;"Aditi Naik: Yes"
507;9015946;9018946;"Khushi Dhake: Yes"
508;9016362;9019362;"Prithvi Sonar: yup"
509;9062454;9065454;"Srinevetha A R: Pls be slow"
510;9111786;9114786;"Aditi Naik: Done"
511;9117706;9120706;"Prithvi Sonar: is this a new chatbot skill?"
512;9121399;9124399;"Payal Pagariya: done"
513;9125708;9128708;"Tejal Wagh: done"
514;9126410;9129410;"Vishesh Waghmare: Same bot you created"
515;9127048;9130048;"Prithvi Sonar: ook"
516;9137887;9140887;"Prithvi Sonar: yes"
517;9151664;9154664;"Anjali Mudaliar: yup"
518;9151715;9154715;"aditi kanade: yes"
519;9153141;9156141;"Prithvi Sonar: yup"
520;9156037;9159037;"Mrunalini Misal: yes"
521;9158882;9161882;"Manali K: Yeah"
522;9212354;9215354;"Tejal Wagh: is that because we are preparing these faqs for the same store?"
523;9236912;9239912;"Tejal Wagh: ok"
524;9304932;9307932;"Prithvi Sonar: click on what?"
525;9313104;9316104;"Prithvi Sonar: ok"
526;9365179;9368179;"Mrunalini Misal: yes"
527;9365576;9368576;"aditi kanade: yes"
528;9366652;9369652;"Pruthvi Inamke: Yes"
529;9369429;9372429;"namitaa chandrashekhar: yes"
530;9369637;9372637;"Sahej Chandok: yes"
531;9369757;9372757;"Prithvi Sonar: yup"
532;9494149;9497149;"Prithvi Sonar: yes"
533;9495409;9498409;"Navteg Bhalla: yes"
534;9495739;9498739;"Ayush Jha: yes"
535;9495913;9498913;"Rutuja Inamke: Yes"
536;9496988;9499988;"rupali shivpure: Yup"
537;9497488;9500488;"Manali K: Yes"
538;9498358;9501358;"Payal Pagariya: yes"
539;9498846;9501846;"Tamal Samanta: yes"
540;9499185;9502185;"damayanti chavan: Yes"
541;9501279;9504279;"Srinevetha A R: Where do we find functions"
542;9554192;9557192;"Aditi Naik: Download cloud functions?"
543;9615897;9618897;"Aditi Naik: What to do after selecting cloud functions from catalog?"
544;9649730;9652730;"Aditi Naik: Yeah, discovery-action"
545;9690552;9693552;"Rutuja Inamke: Please repeat after copying the code"
546;9742623;9745623;"Prithvi Sonar: yup"
547;9743449;9746449;"rohini rao: yep"
548;9744002;9747002;"aditi kanade: yes"
549;9744755;9747755;"Bhavin Kothari: Done"
550;9745246;9748246;"Payal Pagariya: yes"
551;9747884;9750884;"rupali shivpure: Yuppp"
552;9749180;9752180;"bhavesh joshi: Yes"
553;9749397;9752397;"Pruthvi Inamke: Yep"
554;9750160;9753160;"Srinevetha A R: Yes"
555;9830873;9833873;"Prithvi Sonar: wait"
556;9838951;9841951;"namitaa chandrashekhar: Repeat"
557;9872687;9875687;"Rutuja Inamke: Repeat after saving code please"
558;9928400;9931400;"Prithvi Sonar: yup"
559;9930729;9933729;"Pruthvi Inamke: Yes"
560;9931088;9934088;"Manali K: Yes"
561;9932233;9935233;"rupali shivpure: Done"
562;9935054;9938054;"Aditi Naik: Please show where we get the link"
563;9957414;9960414;"Vishesh Waghmare: From where you launched the discovery"
564;9989852;9992852;"ishali jadhav: iam_apikey"
565;9994809;9997809;"bhavesh joshi: It is showing discovery tz"
566;10035025;10038025;"Rutuja Inamke: Not getting from where to copy the url"
567;10036941;10039941;"Nikhil Kandekar: the link is shown in red"
568;10038307;10041307;"Rutuja Inamke: Link"
569;10072992;10075992;"ishali jadhav: environment_id"
570;10081102;10084102;"SIDDHANT SINGH: dashboard > services > discovery"
571;10081365;10084365;"Rutuja Inamke: Where is Resource list"
572;10085679;10088679;"Vishesh Waghmare: Rutuja go to services then discovery you woll get url there"
573;10115181;10118181;"Prithvi Sonar: i can see only one document"
574;10118596;10121596;"SIDDHANT SINGH: if ur getting confused please check the yt video later"
575;10135784;10138784;"SIDDHANT SINGH: it will be uploaded by 8pm"
576;10162576;10165576;"Yash Panchwatkar: Yes"
577;10172083;10175083;"ishali jadhav: collection_id"
578;10200460;10203460;"Tamal Samanta: done"
579;10208947;10211947;"aditi kanade: repeat environment_id"
580;10214261;10217261;"Sagar Chaudhari: done"
581;10214618;10217618;"Varshitha Reddy: Done"
582;10215298;10218298;"Prathamesh jadhav: done"
583;10216082;10219082;"damayanti chavan: environmental id from where to get
Can u repeat"
584;10239492;10242492;"ishan srivastava: Done.!"
585;10252080;10255080;"Bhavin Kothari: Done"
586;10258414;10261414;"Srinevetha A R: Done"
587;10324082;10327082;"Prithvi Sonar: yup"
588;10326389;10329389;"Tamal Samanta: yes"
589;10326588;10329588;"Payal Pagariya: yes"
590;10334366;10337366;"Aseem Khandekar: Can you please repeat?"
591;10416971;10419971;"Ishali Jadhav: .json"
592;10473282;10476282;"Prithvi Sonar: yup"
593;10475439;10478439;"aditi kanade: yess"
594;10475640;10478640;"Payal Pagariya: yess"
595;10476126;10479126;"Rutuja Inamke: Will this recording be available on YouTube???"
596;10476445;10479445;"damayanti chavan: Yes"
597;10477370;10480370;"Khushi Dhake: Yes"
598;10477596;10480596;"Aditi Naik: Please wait"
599;10477960;10480960;"Manali K: Yess"
600;10477998;10480998;"Shambhavi Sinha: yaa"
601;10478668;10481668;"Ayush Jha: yes"
602;10565366;10568366;"ishali jadhav: Key: input"
603;10579024;10582024;"ishali jadhav: Value: "<? input.text ?>""
604;10685297;10688297;"Khushi Dhake: Yes"
605;10687221;10690221;"rohini rao: done!"
606;10687984;10690984;"Tamal Samanta: yes"
607;10688075;10691075;"Prithvi Sonar: yup"
608;10688856;10691856;"rupali shivpure: Yess"
609;10689602;10692602;"Payal Pagariya: yess"
610;10698607;10701607;"Bhavin Kothari: Done"
611;10700480;10703480;"Piyush Nagpal: can you repeat"
612;10705649;10708649;"Asit Raut: Can you repeat the part after pasting webhook url"
613;10710710;10713710;"Piyush Nagpal: after adding value"
614;10758805;10761805;"Vishesh Waghmare: Go to customize select webhook click apply"
615;10822933;10825933;"Vishesh Waghmare: You guys getting this ?"
616;10856525;10859525;"Tamal Samanta: yeah"
617;10857334;10860334;"AKALBIR SINGH CHADHA: Done"
618;10858666;10861666;"bhavesh joshi: Done"
619;10859306;10862306;"ishan srivastava: Me"
620;10859718;10862718;"Khushi Dhake: Done"
621;10860956;10863956;"Rudr T: done"
622;10861093;10864093;"Prithvi Sonar: yeah"
623;10863174;10866174;"umesh inamdar: done"
624;10863803;10866803;"Mrunalini Misal: Me"
625;10866202;10869202;"Poorvaja rao: Done"
626;10866261;10869261;"Shambhavi Sinha: me"
627;10868238;10871238;"Payal Pagariya: me"
628;10871201;10874201;"Prithvi Sonar: yup"
629;10871231;10874231;"Shambhavi Sinha: yaa"
630;10871816;10874816;"shreya kuvalekar: yes"
631;10872158;10875158;"AKALBIR SINGH CHADHA: Yes"
632;10872547;10875547;"Payal Pagariya: yess"
633;10873524;10876524;"SIDDHANT SINGH: yes"
634;10874681;10877681;"Mrunalini Misal: yes"
635;10874819;10877819;"Manali K: Yes"
636;10879633;10882633;"Aditi Naik: Slower"
637;10880729;10883729;"aditi kanade: ok"
638;10881805;10884805;"SIDDHANT SINGH: perfect"
639;10882191;10885191;"Payal Pagariya: okk"
640;10882767;10885767;"umesh inamdar: ok"
641;10883379;10886379;"Khushi Dhake: Ok"
642;10886021;10889021;"Manali K: Ok"
643;10888392;10891392;"Bhavin Kothari: All good continue"
644;10947007;10950007;"Khushi Dhake: Yes"
645;10948304;10951304;"Aditi Naik: Yes"
646;10949360;10952360;"Payal Pagariya: yes"
647;10949999;10952999;"Mrunalini Misal: yep"
648;10950111;10953111;"damayanti chavan: Yes"
649;10951574;10954574;"Manali K: Yes"
650;10951935;10954935;"SIDDHANT SINGH: yes"
651;10972555;10975555;"Vishesh Waghmare: Good sid sir🔥"
652;10979363;10982363;"sai nikhilesh: Should we invoke again"
653;10980267;10983267;"ishali jadhav: $webhook_result_1.passages"
654;11010673;11013673;"SIDDHANT SINGH: tank you vishesh for your appreciation"
655;11047146;11050146;"Pooja H: got an error?"
656;11063055;11066055;"Pooja H: returning null"
657;11092882;11095882;"Himanshu Nakkanwar: Webhook call was not successful. Response code is [404]. (and there is 1 more error in the log)"
658;11106799;11109799;"akhil bhalerao: me"
659;11108733;11111733;"rohini rao: I am"
660;11117307;11120307;"SIDDHANT SINGH: please check the entered url is correct"
661;11117594;11120594;"akhil bhalerao: yess"
662;11118135;11121135;"Pooja H: yup"
663;11120540;11123540;"Himanshu Nakkanwar: yes"
664;11122030;11125030;"rohini rao: yes"
665;11134677;11137677;"akhil bhalerao: yes"
666;11138360;11141360;"Pooja H: yeah"
667;11138807;11141807;"rohini rao: yaa"
668;11143137;11146137;"Aditi Naik: Can we add .json in webhook now?"
669;11152348;11155348;"Vishesh Waghmare: Yes Aditi add it"
670;11159512;11162512;"akhil bhalerao: getting no param"
671;11178757;11181757;"sai nikhilesh: It's working now"
672;11183508;11186508;"Bhavin Kothari: Can u show output of the assistant"
673;11199036;11202036;"Pooja H: Where do we go for the four key page?"
674;11211076;11214076;"Prithvi Sonar: im getting some other passage"
675;11218856;11221856;"Radhika Patil: same"
676;11242049;11245049;"Manali Gadiya: There's no reply"
677;11244762;11247762;"SIDDHANT SINGH: you have not configured the documnet properly"
678;11245650;11248650;"Prathamesh jadhav: not getting any output from assistant"
679;11248107;11251107;"Prithvi Sonar: ooh"
680;11249169;11252169;"Shambhavi Sinha: blank"
681;11249189;11252189;"SIDDHANT SINGH: after the workshop"
682;11250310;11253310;"Prithvi Sonar: ok"
683;11253276;11256276;"SIDDHANT SINGH: you can try again"
684;11263508;11266508;"Radhika Patil: okay"
685;11275850;11278850;"SIDDHANT SINGH: lets continue... you can see the workshop again on yt"
686;11309722;11312722;"ishali jadhav: <?context.webhook_result_1.passages.get(0).get("passage_text").getAsString() ?>"
687;11312305;11315305;"Aashutosh Bhardwaj: what shuld be wriiten inside passage code ?"
688;11317971;11320971;"bhavesh joshi: Put in WhatsApp"
689;11326085;11329085;"Vishesh Waghmare: Ok"
690;11377717;11380717;"rupali shivpure: Done"
691;11379912;11382912;"Prithvi Sonar: why is there no dollar sign in this?"
692;11379919;11382919;"Payal Pagariya: done"
693;11380990;11383990;"sai nikhilesh: Done"
694;11385105;11388105;"Shambhavi Sinha: done"
695;11387331;11390331;"damayanti chavan: Where to paste it....?"
696;11398260;11401260;"damayanti chavan: Okay"
697;11416116;11419116;"Bhavin Kothari: Done , got 1 para output !!!"
698;11418680;11421680;"Prithvi Sonar: ook"
699;11423421;11426421;"Ayush Jha: yes getting only the string part"
700;11423660;11426660;"Tamal Samanta: yesss"
701;11426842;11429842;"Mrunalini Misal: yes done....success!"
702;11434691;11437691;"sai nikhilesh: I still get documents_id etc"
703;11446568;11449568;"bhavesh joshi: Done"
704;11448609;11451609;"Srinevetha A R: Yes"
705;11456361;11459361;"Manali Gadiya: Runtime error"
706;11462717;11465717;"Vishesh Waghmare: Paste it into respond with in webhook 1"
707;11466061;11469061;"Prithvi Sonar: whats up with the boxes in the passage?"
708;11472142;11475142;"Shambhavi Sinha: Runtime error
Error when updating output with output of dialog node id [response_5_1597493888607]. Node output is [{"generic":[{"values":[{"text":"<?context.webhook_result_1.passages.get(0).get(\"passage_text\").getAsString() ?>"}],"response_type":"text","selection_policy":"sequential"}]}] SpEL evaluation error: Expression [context.webhook_result_1.passages.get(0).get("passage_text").getAsString() ] at position 34: EL1011E: Method call: Attempted to call method get(Integer) on null context objec"
709;11474523;11477523;"umesh inamdar: got,yes done"
710;11482553;11485553;"Prithvi Sonar: oh ok"
711;11500667;11503667;"sai nikhilesh: Yes I did that, at the beginning I get those document I'd etc ..but after that i got the whole passage correctly"
712;11536020;11539020;"Prithvi Sonar: yup"
713;11536223;11539223;"Mrunalini Misal: yes"
714;11538098;11541098;"aditi kanade: yes"
715;11539269;11542269;"Payal Pagariya: yes"
716;11542468;11545468;"rohini rao: wait a min"
717;11542626;11545626;"Manali K: Yes please"
718;11651569;11654569;"Srinevetha A R: Pls wait"
719;11659856;11662856;"bhavesh joshi: Cloud foundry repeat"
720;11664517;11667517;"Prithvi Sonar: i got to the node red page"
721;11666234;11669234;"Mrunalini Misal: can u tell steps for node-red again?"
722;11699247;11702247;"Vishesh Waghmare: Ishali please explain that text node you added, once"
723;11726118;11729118;"Vishesh Waghmare: People please pay attention"
724;11808370;11811370;"Vishesh Waghmare: We added debug node, instead of that add second text node"
725;11839544;11842544;"Varshitha Reddy: Repeat"
726;11853572;11856572;"Radhika Patil: should we remove the debug node then?"
727;11860705;11863705;"Vishesh Waghmare: delete the green debug node"
728;11870631;11873631;"Vishesh Waghmare: And add text node simply"
729;11893128;11896128;"Bhavin Kothari: Can we add sample node to text node ?"
730;11904132;11907132;"Vishesh Waghmare: Add group tab same as you added in login form node"
731;11912453;11915453;"Vishesh Waghmare: No bhavin"
732;11919013;11922013;"SIDDHANT SINGH: bhavin please follow the steps"
733;11923058;11926058;"Bhavin Kothari: Ok"
734;11924760;11927760;"Mrunalini Misal: what do we add reg form/login ?"
735;11929156;11932156;"Vishesh Waghmare: First we need to verify the password"
736;11942717;11945717;"Mrunalini Misal: ok"
737;11957177;11960177;"Vishesh Waghmare: No need to add anything on other nodes"
738;12021578;12024578;"ayush mishra: Yes"
739;12028405;12031405;"umesh inamdar: no"
740;12032162;12035162;"umesh inamdar: pl wait"
741;12032471;12035471;"rupali shivpure: Done"
742;12038530;12041530;"Manali K: Yes"
743;12043711;12046711;"Abhinandan Padmakar Pandey: group name?"
744;12053347;12056347;"Vishesh Waghmare: Give it a name you want"
745;12053387;12056387;"Ishali Jadhav: Bot"
746;12063976;12066976;"Srinevetha A R: Done"
747;12065852;12068852;"Vishesh Waghmare: No compulsion"
748;12081296;12084296;"Vishesh Waghmare: Keep it text type"
749;12125744;12128744;"Vishesh Waghmare: Grab a new function node connect it with form"
750;12132450;12135450;"ishali jadhav: msg.payload = msg.payload.input;
return msg;"
751;12135787;12138787;"Ajinkya Gothankar: can you pls show the variable part again"
752;12187466;12190466;"aditi kanade: yes"
753;12188137;12191137;"akhil bhalerao: yess"
754;12190195;12193195;"Srinevetha A R: Yes"
755;12191049;12194049;"ayush mishra: Yes"
756;12192136;12195136;"Asit Raut: yes"
757;12192155;12195155;"Nikhil Kandekar: yes"
758;12192927;12195927;"Manali K: Yeah"
759;12214360;12217360;"Vishesh Waghmare: Select first assistant node"
760;12241796;12244796;"Vishesh Waghmare: See how to get workspace id"
761;12245608;12248608;"Vishesh Waghmare: Watch carefully"
762;12285490;12288490;"Vishesh Waghmare: Services- assistant- chatbot you created- skills - click three dots- view api details- copy skill id"
763;12290725;12293725;"bhavesh joshi: No"
764;12294990;12297990;"aditi kanade: repeat"
765;12299853;12302853;"Nikhil Kandekar: yes"
766;12300008;12303008;"ayush mishra: Yes"
767;12301667;12304667;"umesh inamdar: pl repeat"
768;12302889;12305889;"Manali Gadiya: Yess"
769;12305519;12308519;"Manali K: Yes"
770;12310581;12313581;"Vishesh Waghmare: Steps are in the chat"
771;12348752;12351752;"Manali K: I am also getting password and username"
772;12381173;12384173;"Prathamesh jadhav: yes"
773;12382523;12385523;"Srinevetha A R: Yes"
774;12383238;12386238;"Radhika Patil: yes"
775;12383690;12386690;"Mrunalini Misal: yes"
776;12383787;12386787;"damayanti chavan: Yes"
777;12384105;12387105;"Khushi Dhake: Yes"
778;12385004;12388004;"rupali shivpure: Yea"
779;12386345;12389345;"bhavesh joshi: Yes"
780;12386625;12389625;"sai nikhilesh: Yes"
781;12387780;12390780;"Nikhil Kandekar: yes"
782;12388305;12391305;"Shambhavi Sinha: yupp"
783;12389329;12392329;"Manali K: Yes"
784;12436774;12439774;"Shambhavi Sinha: yaa"
785;12441769;12444769;"Manali K: Yes"
786;12442516;12445516;"ayush mishra: Yes"
787;12443606;12446606;"Ayush Jha: yes"
788;12446395;12449395;"Nikhil Kandekar: yes"
789;12471540;12474540;"Vishesh Waghmare: Go to service page of assistant and copy the url"
790;12488222;12491222;"Vishesh Waghmare: Paste it in service end point section"
791;12498367;12501367;"Varshitha Reddy: Can you repeat?"
792;12507531;12510531;"umesh inamdar: pl repeat above step"
793;12534293;12537293;"Vishesh Waghmare: Services- watson assistant -copy url"
794;12565446;12568446;"Prathamesh jadhav: just a min"
795;12624001;12627001;"Shambhavi Sinha: yaa"
796;12625680;12628680;"Srinevetha A R: Yee"
797;12627098;12630098;"damayanti chavan: Yes"
798;12627701;12630701;"rupali shivpure: Yupp"
799;12628367;12631367;"Srinevetha A R: Yes"
800;12628906;12631906;"Manali K: Yes"
801;12637493;12640493;"aditi kanade: yes"
802;12639937;12642937;"Manali K: Api key"
803;12641967;12644967;"Khushi Dhake: Yes"
804;12649707;12652707;"Srinevetha A R: Yes..api key al, username and password"
805;12667801;12670801;"Manali K: Timeout period"
806;12673756;12676756;"bhavesh joshi: Timeout period"
807;12678764;12681764;"Shambhavi Sinha: timeout period"
808;12692458;12695458;"bhavesh joshi: No it's a field"
809;12713997;12716997;"Ishali Jadhav: Workspace id, service endpoint, apikey"
810;12716483;12719483;"bhavesh joshi: Okay"
811;12721056;12724056;"aditi kanade: yes"
812;12722675;12725675;"Nikhil Kandekar: yes"
813;12723021;12726021;"Manali K: Yes"
814;12725611;12728611;"damayanti chavan: Yes"
815;12742392;12745392;"umesh inamdar: pl repeat api key"
816;12850324;12853324;"SIDDHANT SINGH: yes"
817;12855940;12858940;"Vishesh Waghmare: Yes"
818;12882891;12885891;"Payal Pagariya: what after debug node"
819;12891380;12894380;"Vishesh Waghmare: Deploy it"
820;12895902;12898902;"Vishesh Waghmare: And open UI"
821;12896908;12899908;"Ajinkya Gothankar: "Missing property: msg.payload""
822;12901410;12904410;"Ajinkya Gothankar: error"
823;12904478;12907478;"Vishesh Waghmare: And change tab to customer help"
824;12916386;12919386;"Pooja H: undefined"
825;12918975;12921975;"Vishesh Waghmare: Check your code ajinkya"
826;12946836;12949836;"Radhika Patil: can you repeat again?"
827;12950658;12953658;"Manali K: How to copy path"
828;12955096;12958096;"Nikhil Kandekar: done"
829;12955143;12958143;"Ajinkya Gothankar: msg.payload = msg.payload.input;
return msg;"
830;12956804;12959804;"Ayush Jha: please paste the node code of function"
831;12959185;12962185;"Ajinkya Gothankar: is this the code"
832;12962884;12965884;"rupali shivpure: Me"
833;12969150;12972150;"Mrunalini Misal: mE"
834;12970881;12973881;"Rudr T: how to open ui path"
835;12971051;12974051;"Piyush Nagpal: me"
836;12977170;12980170;"Srinevetha A R: Got the output"
837;13027656;13030656;"Vishesh Waghmare: To open ui copy the link till .net"
838;13031387;13034387;"sai nikhilesh: I get an error: exception when evalauating action"
839;13037576;13040576;"Vishesh Waghmare: Nd type \ui after that"
840;13037803;13040803;"ishali jadhav: msg.payload = msg.payload.output.generic[0].text;
return msg;"
841;13106841;13109841;"shreya kuvalekar: showing missing watson api service credentials"
842;13108762;13111762;"Vishesh Waghmare: Give same group and tab name in text node as of bot form"
843;13120287;13123287;"Piyush Nagpal: done"
844;13125047;13128047;"ayush mishra: Done"
845;13127739;13130739;"rupali shivpure: Done"
846;13127784;13130784;"Manali K: Yes done"
847;13128379;13131379;"Vishesh Waghmare: Shreya check if you have inserted right credentials"
848;13130314;13133314;"Srinevetha A R: Done"
849;13132146;13135146;"bhavesh joshi: Not done"
850;13143097;13146097;"Nikhil Kandekar: done"
851;13147821;13150821;"SIDDHANT SINGH: continue"
852;13156892;13159892;"umesh inamdar: can u repeat after taking the debug button"
853;13347222;13350222;"Manali K: Yes"
854;13347692;13350692;"ayush mishra: Yes"
855;13348865;13351865;"Shambhavi Sinha: yupp"
856;13351958;13354958;"Srinevetha A R: Yes"
857;13404181;13407181;"Abhinandan Padmakar Pandey: repeat size"
858;13521041;13524041;"Mrunalini Misal: i am not getting bot as a separate page"
859;13530859;13533859;"Srinevetha A R: Yes..the bot's audio is heard"
860;13534434;13537434;"Rudr T: bot working and speaking."
861;13559116;13562116;"umesh inamdar: didi.please share the code on the 2nd function button which after the assistant"
862;13560390;13563390;"Mrunalini Misal: ok"
863;13571956;13574956;"ishali jadhav: msg.payload = msg.payload.output.generic[0].text;
return msg;"
864;13575167;13578167;"Ayush Jha: yes it talks.."
865;13578623;13581623;"bhavesh joshi: Show bot output"
866;13591145;13594145;"AKALBIR SINGH CHADHA: Yes it talks"
867;13593872;13596872;"Abhijeet Katore: Thank you,"
868;13596262;13599262;"bhavesh joshi: Node"
869;13625721;13628721;"bhavesh joshi: TXT node"
870;13672489;13675489;"Srinevetha A R: What should be done with the git repo created?"
