Number;Start time in milliseconds;End time in milliseconds;"Text"
119;3274949;3277949;"Khushi Dhake: Done"
120;3275578;3278578;"Rudr T: done"
121;3366846;3369846;"Prithvi Sonar: wait"
122;3412011;3415011;"Prathamesh jadhav: done"
123;3415741;3418741;"Srinevetha A R: Done"
124;3417267;3420267;"sonal shitole: wait"
125;3418051;3421051;"Rutuja Inamke: Wait"
126;3420972;3423972;"Aditi Naik: Done"
127;3422304;3425304;"Abhijeet Katore: Yes it responds"
128;3426376;3429376;"Mrunalini Misal: done"
129;3428137;3431137;"AKALBIR SINGH CHADHA: Done"
130;3430158;3433158;"rujula shinde: done"
131;3443100;3446100;"bhavesh joshi: Operator ?"
132;3444353;3447353;"Sadiya Shaikh: After clicking 3 dots???"
133;3479957;3482957;"bhavesh joshi: Okay"
134;3496103;3499103;"Sadiya Shaikh: okay"
135;3584002;3587002;"aryan kenchappagol: Can you explain dialog part once again pls"
136;3590170;3593170;"aryan kenchappagol: i got disconnected"
137;3603420;3606420;"Arya Pathrikar: How to take Multiple responses?"
138;3676263;3679263;"Arya Pathrikar: Got it"
139;3728525;3731525;"Shambhavi Sinha: done"
140;3731604;3734604;"Sakshi Buchade: yes"
141;3731663;3734663;"Abhijeet Katore: What is the difference between intents and entity in "assistant responds" !?"
142;3732058;3735058;"Rutuja Inamke: Yes"
143;3733760;3736760;"janhavi pawar: yes"
144;3734379;3737379;"Abhijeet Katore: No"
145;3734402;3737402;"shreya kuvalekar: yes"
146;3735616;3738616;"aditi kanade: yes"
147;3735804;3738804;"tejal wagh: Yes"
148;3735946;3738946;"Payal Pagariya: yes"
149;3736739;3739739;"Sadiya Shaikh: yes"
150;3740066;3743066;"Ayush Jha: yes"
151;3742279;3745279;"Nikhil Varghese: yes please"
152;3760289;3763289;"Abhijeet Katore: Ok thank you"
153;3773332;3776332;"Vishesh Waghmare: Sahej repeat the steps"
154;3775546;3778546;"aryan kenchappagol: yes"
155;3777594;3780594;"Rutuja Inamke: Yea"
156;3780613;3783613;"Ayush Jha: yes please"
157;3781421;3784421;"ayush mishra: Yes"
158;3788450;3791450;"Tamal Samanta: How to trigger the anything else response"
159;3801077;3804077;"Abhijeet Katore: All good"
160;3811156;3814156;"Tamal Samanta: yeah"
161;3846366;3849366;"Tamal Samanta: No.. if i type anything else, it says unable to understand..."
162;3878015;3881015;"Tamal Samanta: Oh okay oaky"
163;3879932;3882932;"Tamal Samanta: thanks!"
164;3888398;3891398;"Tamal Samanta: yes"
165;3889124;3892124;"Abhijeet Katore: Yes"
166;3893912;3896912;"lakshita agarwal: Yes"
167;3898324;3901324;"shreya kuvalekar: plz repeat the multiple values"
168;3899436;3902436;"aryan kenchappagol: can you explain the dialog part in short"
169;3907762;3910762;"Sakshi Buchade: repeat"
170;3910102;3913102;"Arya Pathrikar: Could you repeat the multiple responses part"
171;3953513;3956513;"aryan kenchappagol: ok..."
172;4003935;4006935;"aryan kenchappagol: thanks"
173;4031714;4034714;"Arya Pathrikar: Yes"
174;4091710;4094710;"Arya Pathrikar: Yes thank you"
175;4113491;4116491;"Mrunalini Misal: yes"
176;4114184;4117184;"Abhijeet Katore: Yes"
177;4114559;4117559;"Aditi Naik: Yes"
178;4115459;4118459;"Anjali Mudaliar: yup"
179;4115626;4118626;"umesh inamdar: yaa"
180;4116539;4119539;"manasi joshi: yes"
181;4117548;4120548;"akhil bhalerao: yes"
182;4122377;4125377;"Sanjyot Panure: yes"
183;4131189;4134189;"Shraddha Jagtap: Yes"
184;4203979;4206979;"Payal Pagariya: can you repeat plzz"
185;4267297;4270297;"Payal Pagariya: only location"
186;4321156;4324156;"Payal Pagariya: ohh thank you"
187;4326381;4329381;"sonal shitole: yes"
188;4328767;4331767;"tejal wagh: Yes"
189;4358750;4361750;"Prithvi Sonar: what is fuzzy matching?"
190;4396659;4399659;"Prithvi Sonar: ok"
191;4404099;4407099;"sonal shitole: yes"
192;4438725;4441725;"tejal wagh: Can you pls explain after the user example?"
193;4440236;4443236;"Prithvi Sonar: yup"
194;4448040;4451040;"akhil bhalerao: yess"
195;4640236;4643236;"Rutuja Inamke: Wait"
196;4642227;4645227;"rupali shivpure: Yup"
197;4642532;4645532;"Aditi Naik: Yes"
198;4642555;4645555;"Prathamesh jadhav: yup"
199;4648588;4651588;"Prithvi Sonar: what is for anything else?"
200;4656383;4659383;"Aishwarya Beedkar: repat anything else"
201;4675409;4678409;"Prithvi Sonar: oh ok got it"
202;4692134;4695134;"Prithvi Sonar: yeah"
203;4694653;4697653;"Prithvi Sonar: thanks"
204;4699097;4702097;"Aishwarya Beedkar: yes"
205;4703271;4706271;"Arya Pathrikar: How to add anything else node"
206;4711216;4714216;"Arya Pathrikar: Yes"
207;4728827;4731827;"Arya Pathrikar: Okay got it"
208;4808101;4811101;"Prithvi Sonar: yup"
209;4811684;4814684;"Arya Pathrikar: Done"
210;4812509;4815509;"Isha Pathak: done"
211;4812747;4815747;"Prithvi Sonar: done"
212;4819468;4822468;"Shambhavi Sinha: done"
